L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
Y,153,Y,137,R,2,C,2,X,219,S,2,K,3,C,12,X,1,R,1,C,1,K,2,S,1,Y,1,"L1:[sp=Y,153] Y=137,R=2,C=2,X=219,S=2,K=3 || L2:[sp=C,12] X=1,R=1,C=1,K=2,S=1,Y=1",-inf,-inf,0,Y|C,1
C,153,Y,137,R,3,S,2,X,45,C,2,K,3,Y,12,X,1,R,1,C,1,K,2,S,2,Y,1,"L1:[sp=C,153] Y=137,R=3,S=2,X=45,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=2,S=2,Y=1",-6851001.0,-163323000.0,1,C|Y,1
K,153,Y,137,R,2,S,1,X,1,C,2,K,3,Y,12,X,1,R,1,C,1,K,1,S,1,Y,1,"L1:[sp=K,153] Y=137,R=2,S=1,X=1,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,S=1,Y=1",-736513.0,-163323000.0,1,K|Y,1
C,153,Y,204,R,2,S,1,X,148,C,1,K,3,Y,12,X,1,R,1,C,1,K,1,Y,1,S,1,"L1:[sp=C,153] Y=204,R=2,S=1,X=148,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,Y=1,S=1",-inf,-inf,0,C|Y,1
X,155,X,186,R,1,Y,19,C,3,K,9,S,2,X,3,Y,1,S,1,R,1,C,1,K,1,X,1,"L1:[sp=X,155] X=186,R=1,Y=19,C=3,K=9,S=2 || L2:[sp=X,3] Y=1,S=1,R=1,C=1,K=1,X=1",-24386113.0,-163324000.0,1,X|X,1
C,153,Y,137,R,2,S,1,X,1,C,1,K,3,Y,12,X,1,R,1,C,1,K,2,S,1,Y,1,"L1:[sp=C,153] Y=137,R=2,S=1,X=1,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=2,S=1,Y=1",-2639617.0,-163323000.0,1,C|Y,1
X,4,X,1,R,1,Y,1,S,3,K,1,C,1,C,1,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=X,4] X=1,R=1,Y=1,S=3,K=1,C=1 || L2:[sp=C,1] R=1,Y=1,K=1,S=1,X=1,C=1",-2580481.0,-163323000.0,1,X|C,1
C,153,Y,137,R,2,S,1,X,1,C,2,K,3,Y,12,X,1,R,1,C,1,K,2,S,1,Y,1,"L1:[sp=C,153] Y=137,R=2,S=1,X=1,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=2,S=1,Y=1",-5220097.0,-163323000.0,1,C|Y,1
X,155,X,30,R,1,Y,19,C,3,K,49,S,2,X,3,K,1,S,1,R,1,C,1,Y,1,X,1,"L1:[sp=X,155] X=30,R=1,Y=19,C=3,K=49,S=2 || L2:[sp=X,3] K=1,S=1,R=1,C=1,Y=1,X=1",-inf,-inf,0,X|X,1
X,95,S,2,K,1,R,2,C,2,Y,137,X,30,K,7,S,1,X,1,K,1,C,1,Y,1,R,1,"L1:[sp=X,95] S=2,K=1,R=2,C=2,Y=137,X=30 || L2:[sp=K,7] S=1,X=1,K=1,C=1,Y=1,R=1",-inf,-inf,0,X|K,1
Y,153,Y,1,R,1,S,1,X,1,C,2,K,7,Y,12,X,1,R,1,S,1,K,1,C,1,Y,1,"L1:[sp=Y,153] Y=1,R=1,S=1,X=1,C=2,K=7 || L2:[sp=Y,12] X=1,R=1,S=1,K=1,C=1,Y=1",-6838273.0,-163323000.0,1,Y|Y,1
X,95,S,2,K,1,R,2,C,2,Y,137,X,30,K,7,S,1,X,1,K,1,C,1,Y,1,R,1,"L1:[sp=X,95] S=2,K=1,R=2,C=2,Y=137,X=30 || L2:[sp=K,7] S=1,X=1,K=1,C=1,Y=1,R=1",-inf,-inf,0,X|K,1
Y,153,Y,1,R,1,S,3,X,1,C,2,K,3,X,1,X,1,R,1,S,1,K,1,C,1,Y,1,"L1:[sp=Y,153] Y=1,R=1,S=3,X=1,C=2,K=3 || L2:[sp=X,1] X=1,R=1,S=1,K=1,C=1,Y=1",-2360305.0,-163323000.0,1,Y|X,1
C,153,Y,137,R,2,S,2,X,30,C,2,K,3,Y,12,X,1,R,1,C,1,K,1,S,1,Y,1,"L1:[sp=C,153] Y=137,R=2,S=2,X=30,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,S=1,Y=1",-5323649.0,-163323000.0,1,C|Y,1
C,153,Y,147,R,2,S,1,X,1,C,2,K,3,Y,12,X,1,R,1,C,1,K,2,S,1,Y,1,"L1:[sp=C,153] Y=147,R=2,S=1,X=1,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=2,S=1,Y=1",-5220097.0,-163323000.0,1,C|Y,1
K,153,Y,137,R,2,S,1,X,1,C,2,K,3,Y,12,X,1,R,1,C,1,K,1,S,1,Y,1,"L1:[sp=K,153] Y=137,R=2,S=1,X=1,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,S=1,Y=1",-736513.0,-163323000.0,1,K|Y,1
C,4,X,4,R,2,Y,1,S,2,K,1,C,1,X,1,R,1,Y,1,K,1,S,1,X,2,C,1,"L1:[sp=C,4] X=4,R=2,Y=1,S=2,K=1,C=1 || L2:[sp=X,1] R=1,Y=1,K=1,S=1,X=2,C=1",-74870913.0,-163323000.0,1,C|X,1
Y,153,R,1,Y,137,S,1,X,1,C,1,K,6,Y,12,K,1,R,1,S,1,X,1,C,1,Y,1,"L1:[sp=Y,153] R=1,Y=137,S=1,X=1,C=1,K=6 || L2:[sp=Y,12] K=1,R=1,S=1,X=1,C=1,Y=1",-4711393.0,-163323000.0,1,Y|Y,1
X,4,Y,1,S,1,K,25,R,1,X,1,C,1,C,1,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=X,4] Y=1,S=1,K=25,R=1,X=1,C=1 || L2:[sp=C,1] R=1,Y=1,K=1,S=1,X=1,C=1",-810433.0,-163323000.0,1,X|C,1
Y,153,Y,137,R,2,S,1,X,1,C,1,K,3,C,12,X,1,S,1,C,1,K,2,R,1,Y,1,"L1:[sp=Y,153] Y=137,R=2,S=1,X=1,C=1,K=3 || L2:[sp=C,12] X=1,S=1,C=1,K=2,R=1,Y=1",-53504641.0,-163323000.0,1,Y|C,1
X,4,X,1,R,1,Y,1,C,1,K,1,S,3,C,1,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=X,4] X=1,R=1,Y=1,C=1,K=1,S=3 || L2:[sp=C,1] R=1,Y=1,K=1,S=1,X=1,C=1",-2580481.0,-163323000.0,1,X|C,1
Y,153,Y,1,R,1,S,3,X,1,C,3,K,3,X,1,X,1,R,1,S,1,K,1,C,1,Y,1,"L1:[sp=Y,153] Y=1,R=1,S=3,X=1,C=3,K=3 || L2:[sp=X,1] X=1,R=1,S=1,K=1,C=1,Y=1",-2331001.0,-163323000.0,1,Y|X,1
C,153,Y,137,R,2,C,1,X,1,S,2,K,3,Y,12,X,1,R,1,C,1,K,3,S,1,Y,1,"L1:[sp=C,153] Y=137,R=2,C=1,X=1,S=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=3,S=1,Y=1",-5337729.0,-163323000.0,1,C|Y,1
C,153,Y,137,R,3,S,1,X,30,C,1,K,3,Y,12,X,1,R,1,C,1,K,1,Y,1,S,1,"L1:[sp=C,153] Y=137,R=3,S=1,X=30,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,Y=1,S=1",-2581537.0,-163323000.0,1,C|Y,1
C,153,Y,137,R,2,S,1,X,1,C,1,K,3,Y,12,X,1,R,1,C,1,K,3,Y,1,S,1,"L1:[sp=C,153] Y=137,R=2,S=1,X=1,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=3,Y=1,S=1",-2720257.0,-163323000.0,1,C|Y,1
K,153,Y,137,R,3,S,2,X,30,C,1,K,3,Y,12,X,1,R,1,C,1,K,1,S,1,Y,1,"L1:[sp=K,153] Y=137,R=3,S=2,X=30,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,S=1,Y=1",-inf,-inf,0,K|Y,1
C,4,X,1,R,1,Y,1,S,1,K,1,C,1,C,1,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=C,4] X=1,R=1,Y=1,S=1,K=1,C=1 || L2:[sp=C,1] R=1,Y=1,K=1,S=1,X=1,C=1",-57802753.0,-163323000.0,1,C|C,1
Y,153,R,2,Y,137,S,3,X,30,C,1,K,3,Y,12,K,1,R,1,S,1,X,1,C,1,Y,1,"L1:[sp=Y,153] R=2,Y=137,S=3,X=30,C=1,K=3 || L2:[sp=Y,12] K=1,R=1,S=1,X=1,C=1,Y=1",-4936225.0,-163323000.0,1,Y|Y,1
C,153,Y,137,R,2,S,1,X,1,C,1,K,3,Y,12,X,1,R,1,C,1,K,2,S,1,Y,1,"L1:[sp=C,153] Y=137,R=2,S=1,X=1,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=2,S=1,Y=1",-2639617.0,-163323000.0,1,C|Y,1
C,153,Y,137,R,3,S,2,X,30,C,1,K,3,Y,12,X,1,R,1,C,1,K,1,Y,1,S,1,"L1:[sp=C,153] Y=137,R=3,S=2,X=30,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,Y=1,S=1",-2661825.0,-163323000.0,1,C|Y,1
X,4,X,1,R,1,Y,1,S,3,K,1,C,1,C,1,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=X,4] X=1,R=1,Y=1,S=3,K=1,C=1 || L2:[sp=C,1] R=1,Y=1,K=1,S=1,X=1,C=1",-2580481.0,-163323000.0,1,X|C,1
Y,153,Y,137,R,2,S,3,X,1,C,1,K,3,C,12,X,1,R,1,C,1,K,2,S,1,Y,1,"L1:[sp=Y,153] Y=137,R=2,S=3,X=1,C=1,K=3 || L2:[sp=C,12] X=1,R=1,C=1,K=2,S=1,Y=1",-158846329.0,-163323000.0,1,Y|C,1
Y,153,Y,137,R,3,S,2,X,30,C,2,K,3,X,1,X,20,R,1,K,1,S,1,C,1,Y,1,"L1:[sp=Y,153] Y=137,R=3,S=2,X=30,C=2,K=3 || L2:[sp=X,1] X=20,R=1,K=1,S=1,C=1,Y=1",-54764481.0,-163323000.0,1,Y|X,1
C,153,Y,1,R,1,S,3,X,22,C,1,K,3,Y,12,X,1,R,1,C,1,K,3,Y,1,S,1,"L1:[sp=C,153] Y=1,R=1,S=3,X=22,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=3,Y=1,S=1",-32628289.0,-163323000.0,1,C|Y,1
Y,153,R,2,Y,137,S,1,X,1,C,1,K,3,Y,12,K,1,R,2,S,1,X,1,C,1,Y,1,"L1:[sp=Y,153] R=2,Y=137,S=1,X=1,C=1,K=3 || L2:[sp=Y,12] K=1,R=2,S=1,X=1,C=1,Y=1",-6281857.0,-163323000.0,1,Y|Y,1
K,153,Y,137,R,2,S,1,X,1,C,2,K,3,Y,12,X,1,R,1,C,1,K,1,S,1,Y,1,"L1:[sp=K,153] Y=137,R=2,S=1,X=1,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,S=1,Y=1",-736513.0,-163323000.0,1,K|Y,1
